Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,26
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,26
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,27
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,27
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,28
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,28
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,28
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN (PwD),Gender-Neutral,29
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,29
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,29
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,31
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,32
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN (PwD),Gender-Neutral,33
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,33
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,34
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,34
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,34
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),35
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,35
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS (PwD),Gender-Neutral,36
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,37
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL (PwD),Gender-Neutral,37
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,38
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,38
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),EWS (PwD),Gender-Neutral,38
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,39
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,39
Indian Institute of Technology Bombay,Engineering Physics (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,40
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,41
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,41
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Female-only (including Supernumerary),41
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,42
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,42
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,43
